Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Container,,,,,,quay.io/stolostron/applifecycle-backend-e2e,2.9.0-1bdfb65fac2c3ee759765466a320b04484c819a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/bailer,2.7.0-61b678d7796c75cacca1fb08b1b0b6b71fe25253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cert-policy-controller,2.9.0-efc6db6787f6f550f8583edad90531025c1c6728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-backup-controller,2.9.0-649ca349f548f9d39309813064a36c09707219b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-lifecycle-e2e,2.9.0-4a098e64f67071459fd8ba152f504990dbd52800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-permission,2.9.0-ba4dd0cac7c28649237663e4b23a4a362ee9f1c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-proxy-addon,2.5.0-59d349c4c360bb1e72e1b4320f9cb2c632df5a15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-proxy,2.6-0d668713c71dbf873c2512a15bf2571fa79488c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-templates-operator,2.8.0-e6619af6896be853379c0a136f1f66354d6d4c4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/config-policy-controller,2.9.0-70185663e4bffae1235250f8fd50f7623e6e98c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/console,2.9.0-0d74b350ffbec9f004a6f2ecf2a1abbfd767feca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/endpoint-monitoring-operator,2.9.0-faede0184742b931c5a1ae44cb8eff2d0aad0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/governance-policy-addon-controller,2.9.0-610909bd86926a8f7db11714a2ee3e7a744801f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/governance-policy-framework-addon,2.9.0-b5b08c42f0047cd06247e32d38d7121dadc5f223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/governance-policy-propagator,2.9.0-48686c7d88b1668ec96afd1b9c806184d041ece9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/grafana-dashboard-loader,2.9.0-1f33e9626f2ac1d1d62f70ac8e53f7358f705fbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/grafana,2.9.0-97254b6fef8cad5a3da7da942914a5a71f506ffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/grc-policy-framework-tests,2.9.0-59ee6ef3048b1545613b3ed77306d43e03709042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/helloprow-go,1.0.0-84a3a5fd79ccfff383811d4702aa5c1850a5b2f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/helloworld,1.0.0-b887ee2a65e259ea16a6440f966fc096d84e3eb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/iam-policy-controller,2.9.0-8e35ed50f2cedf803e7eb1fbce22f7c1e9b24c9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/insights-client,2.9.0-f697652bae8ec4f5ac073d1b1625fd25c9573157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/insights-metrics,2.9.0-ca73fa4920e5f4477a900475ad09475c286afd94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/klusterlet-addon-controller,2.9.0-21fcf32a88b845c67d0dcc47e0d86002c182d5d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/kube-rbac-proxy,2.9.0-ffbd7cebb30767ad8cec54cb485cca6e472cd26c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/kube-state-metrics,2.9.0-05a25ee9997be60608172443698d0f40ff62fffd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/metrics-collector,2.9.0-1f33e9626f2ac1d1d62f70ac8e53f7358f705fbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicloud-integrations,2.9.0-9e76fa51b28da8c7ca1d3dd7123cac15c426664d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicluster-global-hub-operator,2.9.0-561a5a7f16ac98f746cb6f7e6aac84aa1240bc36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicluster-observability-operator,2.9.0-12163573e5f754fadb90fcc0a779e5594a50204c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicluster-operators-application,2.9.0-6a6d3014bfb8dbb8e77f69f5bb9024516dc479ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicluster-operators-channel,2.9.0-379da700074075c1585c4f20372f45bf988aed59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicluster-operators-subscription,2.9.0-1fab0564071e0d9a3bb02b5177c79b4b5f92ce81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multiclusterhub-operator-tests,2.9.0-e79c0f82cce325b4c8c69296193a88da5d8f31e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multiclusterhub-operator,2.9.0-e79c0f82cce325b4c8c69296193a88da5d8f31e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/must-gather,2.9.0-d2f51d011e9d1f6bbe0e18fe13ff563e4e01e0c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/node-exporter,2.9.0-bd7e2ce14dfc0e396a4d0c6d69136acf04ea9a1d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/observability-e2e-test,2.9.0-be51bdc47fd3f06119c42a76b3fd0567a9943ab9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/observatorium-operator,2.9.0-ea12d3fb3af7b18f2fa431731aa45716ddec94ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/observatorium,2.9.0-64a459310cc9fc131e8919f34881f77f25b1dd86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/origin-oauth-proxy-48,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/origin-oauth-proxy-49-and-up,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/origin-oauth-proxy,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/postgresql-12,1-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/postgresql-13,1-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/prometheus-alertmanager,2.9.0-26575202a14a94d8fc27b93c1a042ccdcecadf24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/prometheus-config-reloader,2.9.0-f0843bcaeb71e8ea58f6427c9518a086b1ae9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/prometheus-operator,2.9.0-f0843bcaeb71e8ea58f6427c9518a086b1ae9311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/prometheus,2.9.0-0babb8ecd8e5bba4b660afc2da861f1462fee6bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/rbac-query-proxy,2.9.0-73f92a90490de098819202b31f5d54d2fab0753d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-collector,2.9.0-4b30af183ccf0c6b880c6c6c21d6da4be5b9ed7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-e2e,2.9.0-a9559d9e1e04f313a0fb93b0a8889e6b940fe1cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-indexer,2.9.0-c77b83fc4572b1059cfbe57f290bf4a85ff9af24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-operator-bundle,2.9.0-1942b3fb2215f0cf49cc23b737f41a25512551f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-v2-api,2.9.0-2a7272b4ec14be855da6050b710d9679e6d11381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/search-v2-operator,2.9.0-614579b79dd8585004d33cb10ec1c529dc890013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/submariner-addon,2.9.0-a5cd8c42a701b16edd7566206cf9328d9c4d6d32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/thanos-receive-controller,2.9.0-78712173dd84f96e1fc0d700cf903090e7b53dae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/thanos,2.9.0-b33e30b5e62f744357359eebda1d599d3eabe8f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/volsync-addon-controller,2.9.0-293e520b955a51e25697a1e6d9471b75e3d8d59f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/backube/volsync-mover-rclone,release-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/backube/volsync-mover-restic,release-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/backube/volsync-mover-rsync,release-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/backube/volsync-mover-syncthing,release-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/backube/volsync,release-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
