Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Container,,,,,,quay.io/stolostron/addon-manager,2.4.0-708be874486f035f04479cb304ec13c35a953c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/apiserver-network-proxy,sha256:643577140dd38a878444cd7f2fe7044f0dc376bab5ce5e31f0e8af74309572c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/assisted-image-service,2.4.0-884b2315209527b616fd6009901d38d37062c65c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/assisted-installer,2.4.0-ce8be41917754d3c7fbe591156f2a578e65774f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/assisted-installer-agent,2.4.0-b12260830960b2c85e7c114afd38586c5f7ca627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/assisted-installer-controller,2.4.0-ce8be41917754d3c7fbe591156f2a578e65774f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/assisted-service,2.4.0-fe48f6ffa70e3b52a81b8c9d74d32122f9c33ebf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/aws-encryption-provider,sha256:eb957d0c72e10801a38657be5ec3600648b490cbc8f429f743e238862c3b6917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/backplane-must-gather,2.4.0-b54833a9813877b828f96498e0a49fc5924646e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/backplane-operator,2.4.0-526ed59e8c5376f29e8e34eaeff5f5d3e5c034a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/backplane-operator-test,2.4.0-526ed59e8c5376f29e8e34eaeff5f5d3e5c034a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-api-aws-controller,v1.1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-api-provider-agent,2.4.0-9867a950085b00292f0a65644c479cedfd2c4ead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-api-provider-azure,v20220217-v1.1.0-193-gf7fd1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-api-provider-kubevirt,2.4.0-8541847fba3de4ea0155f22dcc8923c820f052b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-api,v1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-curator-controller,2.4.0-d701b998cd22f2003fb589f9f255ac99860dcb29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-image-set-controller,2.4.0-e9223425315495b79d5fb72780f8e898478a5274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-proxy,2.4.0-84d1d7a882b9cb5ca32a67cf655c26bc93f95684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/cluster-proxy-addon,2.4.0-0ba684d6ef371e201f5fe7c6a1e306f8c8d9b202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/clusterclaims-controller,2.4.0-189971a261b961ab36957183bf2cd25a7b169fae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/clusterlifecycle-state-metrics,2.4.0-6feae16f2365d7746b36caf528e208c2c6f66f69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/console-mce,2.4.0-45cb5bb82fe9dcf37de028885cdc21dc480b28d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/discovery-operator,2.4.0-2de91127dd160ea976aef34492b68279c8376bba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/discovery-operator-tests,2.4.0-2de91127dd160ea976aef34492b68279c8376bba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/discovery-testserver,2.4.0-2de91127dd160ea976aef34492b68279c8376bba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/foundation-e2e,2.4.0-83d232d77837e521598be8622b3bcb6fff2451fd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/helloprow-go,2.0.0-3c4129e1fa4fecc74a16504f10eb30b27d6d0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/helloworld,1.0.0-0e76ff11c242f687297e96d5056e2aaafba7aaae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/hive,local-2.4-e3f9aed5bf2a2b43aa05621864fd37c71c38afda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
